605231,0.78,0.42,-0.34
605241,0.90,0.37,-0.28
605251,1.03,0.29,-0.21
605261,0.94,0.21,-0.23
605271,0.88,0.14,-0.21
605281,0.84,0.26,-0.25
605291,0.81,0.26,-0.29
605301,0.74,0.23,-0.26
605311,0.71,0.19,-0.14
605321,0.67,0.14,-0.06
605331,0.52,-0.06,-0.17
605341,0.52,-0.06,-0.17
605351,0.59,-0.56,-0.29
605361,0.64,-0.77,-0.47
605371,0.65,-0.85,-0.55
605381,0.71,-0.75,-0.68
605391,0.75,-0.53,-0.81
605401,0.81,-0.40,-0.75
605411,0.74,-0.51,-0.46
605421,0.48,-0.68,-0.29
605431,0.63,-0.83,-0.42
605441,0.48,-1.22,-0.67
605451,0.64,-1.85,-1.09
605461,0.59,-2.00,-1.34
605471,0.67,-2.00,-1.03
605481,0.64,-1.89,-0.65
605491,0.70,-1.45,-0.59
605501,0.69,-0.70,-0.78
605511,0.71,-0.12,-0.65
605521,0.60,0.05,-0.23
605531,0.66,0.51,0.12
605541,0.59,0.89,0.25
605551,0.58,1.13,-0.24
605561,0.82,1.43,-0.87
605571,0.74,0.97,-0.96
605581,0.54,0.42,-0.92
605591,0.54,0.42,-0.92
605601,0.44,-0.29,-0.72
605611,0.49,-0.16,-0.27
605621,0.69,-0.09,-0.09
605631,0.87,0.12,-0.04
605641,0.94,-0.07,-0.01
605651,0.98,-0.21,-0.20
605661,1.01,0.29,0.30
605671,0.88,0.06,1.06
605681,1.10,-0.18,1.63
605691,1.13,-0.44,1.69
605701,1.12,-0.64,1.58
605711,1.04,-0.60,1.22
605721,0.70,-0.55,0.64
605731,0.77,0.21,0.15
605741,1.08,1.99,0.16
605751,1.20,1.99,0.62
605761,0.69,1.57,0.73
605771,0.74,1.76,-0.28
605781,0.57,-0.21,-0.82
605791,0.43,-1.39,-0.82
605801,0.64,-1.45,-0.70
605811,1.00,-0.96,-0.65
605821,0.80,-0.26,-0.62
605831,0.67,0.41,-0.58
605841,0.67,0.41,-0.58
